instancia,seed,alpha,tempo,obj.grasp,obj.best
../instancias/VFR600_20_1_Gap.txt,4,1.000000,118.467350,36697,33054
../instancias/VFR600_20_1_Gap.txt,10,0.800000,121.899609,35391,32841
../instancias/VFR60_5_10_Gap.txt,1,0.400000,3.174241,3857,3680
../instancias/VFR500_60_3_Gap.txt,7,0.000000,299.690675,36930,33505
../instancias/VFR20_20_1_Gap.txt,7,0.800000,3.884229,2747,2348
../instancias/VFR500_40_1_Gap.txt,5,0.600000,196.929577,33913,30631
../instancias/VFR500_60_3_Gap.txt,7,0.200000,298.328251,37058,33626
../instancias/VFR10_15_1_Gap.txt,8,0.000000,1.456345,1424,1324
../instancias/VFR700_20_10_Gap.txt,8,0.800000,138.625335,40952,37890
../instancias/VFR100_60_1_Gap.txt,6,0.000000,57.578186,11247,10029
../instancias/VFR500_60_3_Gap.txt,3,0.400000,304.666250,36030,33596
../instancias/VFR500_60_3_Gap.txt,1,0.000000,302.412145,36930,33753
../instancias/VFR60_10_3_Gap.txt,1,0.800000,5.982951,4369,3527
../instancias/VFR500_60_3_Gap.txt,8,1.000000,302.068115,36437,33559
../instancias/VFR700_20_10_Gap.txt,1,0.600000,137.712178,41149,37920
../instancias/VFR600_20_1_Gap.txt,7,0.800000,119.104181,35881,33212
../instancias/VFR60_10_3_Gap.txt,4,0.600000,5.874841,4392,3617
../instancias/VFR20_10_3_Gap.txt,4,0.400000,1.977904,1918,1710
../instancias/VFR500_40_1_Gap.txt,7,1.000000,196.781639,32972,30794
../instancias/VFR20_20_1_Gap.txt,6,0.400000,4.056994,2794,2357
../instancias/VFR60_10_3_Gap.txt,2,0.800000,5.994140,4191,3621
../instancias/VFR60_10_3_Gap.txt,2,0.000000,6.041127,4357,3704
../instancias/VFR10_15_1_Gap.txt,1,0.000000,1.534927,1424,1352
../instancias/VFR500_40_1_Gap.txt,9,0.800000,201.960406,33455,30560
../instancias/VFR20_10_3_Gap.txt,5,1.000000,1.997374,2099,1710
../instancias/VFR10_15_1_Gap.txt,7,0.400000,1.467462,1502,1388
../instancias/VFR10_15_1_Gap.txt,7,0.800000,1.431329,1424,1346
../instancias/VFR60_5_10_Gap.txt,6,0.000000,3.063687,3849,3665
../instancias/VFR10_15_1_Gap.txt,2,0.600000,1.437551,1435,1308
../instancias/VFR700_20_10_Gap.txt,7,0.800000,137.753628,41383,37732
../instancias/VFR10_15_1_Gap.txt,7,0.000000,1.433140,1424,1352
../instancias/VFR500_40_1_Gap.txt,6,1.000000,199.773790,33515,30736
../instancias/VFR20_10_3_Gap.txt,8,1.000000,2.041099,1934,1667
../instancias/VFR700_20_10_Gap.txt,6,0.400000,138.617738,40725,37785
../instancias/VFR600_20_1_Gap.txt,8,0.800000,122.076369,36264,32812
../instancias/VFR500_60_3_Gap.txt,6,0.800000,299.299758,37046,33617
../instancias/VFR60_10_3_Gap.txt,4,0.200000,5.933766,4345,3639
../instancias/VFR700_20_10_Gap.txt,10,0.800000,137.762910,41420,37923
../instancias/VFR500_40_1_Gap.txt,8,0.600000,201.079787,33402,30798
../instancias/VFR20_10_3_Gap.txt,8,0.000000,2.048646,2017,1710
../instancias/VFR60_10_3_Gap.txt,5,0.400000,6.088572,4472,3638
../instancias/VFR500_60_3_Gap.txt,4,0.600000,301.675015,36089,33505
../instancias/VFR700_20_10_Gap.txt,5,0.800000,138.871216,41064,37853
../instancias/VFR20_10_3_Gap.txt,1,0.200000,2.030922,1966,1672
../instancias/VFR600_20_1_Gap.txt,5,0.400000,120.989881,35608,32841
../instancias/VFR10_15_1_Gap.txt,4,0.000000,1.443506,1424,1352
../instancias/VFR100_60_1_Gap.txt,1,0.000000,58.029818,11247,9975
../instancias/VFR10_15_1_Gap.txt,2,1.000000,1.461803,1577,1346
../instancias/VFR500_40_1_Gap.txt,1,1.000000,196.546349,33574,30662
../instancias/VFR700_20_10_Gap.txt,9,0.800000,140.398885,40584,38122
../instancias/VFR20_10_3_Gap.txt,3,0.400000,2.021356,2056,1694
