,Instância,BKS,$\alpha$,F.O. GRASP,STDEV GRARSP,GAP$_\mathrm{GRASP}$,Valor F.O.,Valor FO STDEV,GAP$_\mathrm{G+LS}$ (\%),Tempo (s.),,
1,VFR10\_15\_1,1307,0,1424,0,8.95,1339.6,18.319,2.49,$1.5 \pm 0.04$,,
2,VFR100\_60\_1,9395,0,11247,0,19.71,10008.8,47.123,6.53,$57.7 \pm 0.59$,,
3,VFR20\_10\_3,1592,0,2017,0,26.7,1687.5,29.304,6,$2.1 \pm 0.05$,,
4,VFR20\_20\_1,2270,0,2715,0,19.6,2360.1,33.478,3.97,$3.9 \pm 0.07$,,
5,VFR500\_40\_1,28548,0,33119,0,16.01,30640.6,67.832,7.33,$200.4 \pm 8.47$,,
6,VFR500\_60\_3,31125,0,36930,0,18.65,33539.6,106.966,7.76,$298.5 \pm 4.31$,,
7,VFR60\_10\_3,3423,0,4357,0,27.29,3632.6,62.45,6.12,$6 \pm 0.06$,,
8,VFR60\_5\_10,3663,0,3849,0,5.08,3668.4,7.291,0.15,$3.2 \pm 0.09$,,
9,VFR600\_20\_1,31433,0,35473,0,12.85,32904.4,69.306,4.68,$118.4 \pm 1.86$,,
10,VFR700\_20\_10,36417,0,40916,0,12.35,37857.4,114.996,3.96,$140.6 \pm 2.03$,15763.9,17204.7
11,VFR10\_15\_1,1307,0.2,1431.5,24.024,9.53,1354.2,23.011,3.61,$1.4 \pm 0.03$,,
12,VFR100\_60\_1,9395,0.2,11251.8,118.302,19.76,10054.5,70.099,7.02,$57.7 \pm 0.42$,,
13,VFR20\_10\_3,1592,0.2,2030.4,44.443,27.54,1685.8,23.223,5.89,$2 \pm 0.03$,,
14,VFR20\_20\_1,2270,0.2,2759.4,69.617,21.56,2355.8,41.214,3.78,$3.9 \pm 0.08$,,
15,VFR500\_40\_1,28548,0.2,33572.6,207.304,17.6,30753.7,111.634,7.73,$200 \pm 4.51$,,
16,VFR500\_60\_3,31125,0.2,36741.8,257.954,18.05,33624.6,167.947,8.03,$300.7 \pm 3.79$,,
17,VFR60\_10\_3,3423,0.2,4367.2,83.639,27.58,3637.4,67.612,6.26,$6 \pm 0.14$,,
18,VFR60\_5\_10,3663,0.2,3833.2,22.25,4.65,3667.9,5.971,0.13,$3.2 \pm 0.13$,,
